Class,Order,Family,Genus,Species,Saltwater,"Offspring wet weight, g","Adult wet weight, g"
Actinopterygii,Anguilliformes,Congridae,Chiloconger,philippinensis,1,0.000321556,68.59
Actinopterygii,Anguilliformes,Congridae,Conger,oceanicus,1,0.008939873,121670
Actinopterygii,Anguilliformes,Congridae,Gnathophis,mystax,1,0.010889244,2160
Actinopterygii,Anguilliformes,Derichthyidae,Derichthys,serpentinus,1,0.006370641,640
Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,griseus,1,0.0141372,2746.25
Actinopterygii,Anguilliformes,Nettastomatidae,Facciolella,equatorialis,1,0.000321556,7290
Actinopterygii,Anguilliformes,Ophichthidae,Apterichtus,anguiformis,1,0.018816612,1198.231514
Actinopterygii,Anguilliformes,Ophichthidae,Apterichtus,caecus,1,0.018816612,2160
Actinopterygii,Anguilliformes,Ophichthidae,Dalophis,imberbis,1,0.006795215,33750
Actinopterygii,Anguilliformes,Ophichthidae,Ophichthus,cephalozona,1,0.010889244,15208.75
Actinopterygii,Anguilliformes,Ophichthidae,Ophichthus,rufus,1,0.006370641,2160
Actinopterygii,Anguilliformes,Synaphobranchidae,Histiobranchus,bathybius,1,0.000696912,25713.53
Actinopterygii,Atheriniformes,Atherinidae,Atherion,elymus,1,9.44E-05,1.25
Actinopterygii,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,1,0.005575293,911.25
Actinopterygii,Atheriniformes,Atherinopsidae,Leuresthes,tenuis,1,0.003315239,68.59
Actinopterygii,Atheriniformes,Atherinopsidae,Membras,vagrans,1,0.000448922,
Actinopterygii,Aulopiformes,Aulopidae,Hime,japonica,1,0.001047397,110.8956586
Actinopterygii,Aulopiformes,Notosudidae,Ahliesaurus,brevis,1,0.000113098,92.61
Actinopterygii,Aulopiformes,Synodontidae,Synodus,lucioceps,1,0.001288252,2621.44
Actinopterygii,Batrachoidiformes,Batrachoididae,Amphichthys,cryptocentrus,1,0.1130976,640
Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,notatus,1,0.1130976,548.72
Actinopterygii,Batrachoidiformes,Batrachoididae,Sanopus,barbatus,1,0.1130976,689.21
Actinopterygii,Beloniformes,Belonidae,Tylosurus,acus acus,1,0.02442908,35815.77
Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus,1,0.02442908,33750
Actinopterygii,Beloniformes,Exocoetidae,Cheilopogon,pinnatibarbatus californicus,1,0.002288511,548.72
Actinopterygii,Beloniformes,Exocoetidae,Exocoetus,volitans,1,0.006795216,270
Actinopterygii,Beloniformes,Exocoetidae,Hirundichthys,coromandelensis,1,0.003315239,68.59
Actinopterygii,Beloniformes,Exocoetidae,Parexocoetus,mento,1,0.002878948,13.31
Actinopterygii,Beloniformes,Hemiramphidae,Oxyporhamphus,micropterus,1,0.003882428,63.31625
Actinopterygii,Beryciformes,Berycidae,Beryx,splendens,1,0.000659585,3430
Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,atlanticus,1,0.005964131,4218.75
Actinopterygii,Clupeiformes,Clupeidae,Clupea,bentincki,1,0.000463248,228.8211424
Actinopterygii,Clupeiformes,Clupeidae,Ethmidium,maculatum,1,0.001150349,175.76
Actinopterygii,Clupeiformes,Clupeidae,Opisthonema,libertate,1,0.002144665,270
Actinopterygii,Clupeiformes,Clupeidae,Sardinella,longiceps,1,0.001436758,121.67
Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,1,0.002549815,616.29875
Actinopterygii,Clupeiformes,Dussumieriidae,Etrumeus,sadina,1,0.001436758,359.37
Actinopterygii,Clupeiformes,Dussumieriidae,Etrumeus,whiteheadi,1,0.001361155,106.48
Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,similis,1,0.010889244,17.28
Actinopterygii,Gadiformes,Bregmacerotidae,Bregmaceros,atlanticus,1,0.000696912,3.007629743
Actinopterygii,Gadiformes,Bregmacerotidae,Bregmaceros,bathymaster,1,0.000407721,10
Actinopterygii,Gadiformes,Gadidae,Gadus,macrocephalus,1,0.000696912,16851.59
Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,1,0.00139107,14049.28
Actinopterygii,Gadiformes,Gadidae,Micromesistius,poutassou,1,0.000817285,1250
Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius,1,0.000817285,21970
Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,1,0.000716092,21970
Actinopterygii,Gadiformes,Gadidae,Trisopterus,esmarkii,1,0.000775736,428.75
Actinopterygii,Gadiformes,Gadidae,Trisopterus,minutus,1,0.000588979,640
Actinopterygii,Gadiformes,Lotidae,Brosme,brosme,1,0.001231841,17280
Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,1,0.000288696,156.25
Actinopterygii,Gadiformes,Lotidae,Enchelyopus,cimbrius,1,0.000288696,689.21
Actinopterygii,Gadiformes,Lotidae,Molva,molva,1,0.000606132,80000
Actinopterygii,Gadiformes,Macrouridae,Hymenocephalus,italicus,1,0.000597515,156.25
Actinopterygii,Gadiformes,Macrouridae,Macrourus,berglax,1,0.00176715,13310
Actinopterygii,Gadiformes,Merlucciidae,Merluccius,bilinearis,1,0.000421161,4389.76
Actinopterygii,Gadiformes,Merlucciidae,Merluccius,merluccius,1,0.000477876,27440
Actinopterygii,Gadiformes,Muraenolepididae,Muraenolepis,microps,1,0.000229848,428.75
Actinopterygii,Gadiformes,Phycidae,Phycis,blennoides,1,0.00031034,13310
Actinopterygii,Gadiformes,Phycidae,Urophycis,chuss,1,3.32E-06,2874.96
Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,1,0.00159626,2.16
Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,candolii,1,0.000904781,4.21875
Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,lepadogaster,1,0.003315239,2.74625
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,briggsi,1,1.77E-06,0.051777172
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,clarkei,1,3.35E-05,0.028032208
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,cryptus,1,0.000113098,0.068589997
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,fasciatus,1,3.35E-05,1.326509926
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,lavettsmithi,1,1.41E-05,0.190341646
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,leurodiscus,1,1.41E-05,0.073013846
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,reitzae,1,0.00006545,0.42875
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,rhabdotus,1,3.35E-05,0.566231002
Actinopterygii,Gobiesociformes,Gobiesocidae,Tomicodon,rupestris,1,0.00006545,0.203464174
