houde 1989 Bull. Mar. Sci. larval growth,,,,,,,,,,,
Species,Spawning mode,Temperature,Min mass mg,Max mass mg,midpoint mass ug,growth rate ug/ug/day,temp,ln mass,ln gr,Notes,Source
Clupea harengus,demersal,11.5,0.06,100,0.20012,0.065,11.5,-1.608838092,-4.342206101,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Chanos chanos,pelagic,27,0.25,60,0.1205,0.145,27,-2.116105526,-4.047127063,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Anchoa lamprotaenia,pelagic,26,0.02,0.06,0.00016,0.21,26,-8.740336743,-10.30098449,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Anchoa mitchili,pelagic,27,0.01,6,0.01202,0.25,27,-4.42118335,-5.807477711,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Engraulis mordax,pelagic,14.5,0.02,0.5,0.00104,0.22,14.5,-6.868534566,-8.382662298,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Gadus morhua,pelagic,7.5,0.05,3,0.0061,0.07,7.5,-5.099466508,-7.758726545,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Melanogrammus aeglefinus,pelagic,6.5,0.07,2.9,0.00594,0.07,6.5,-5.126046146,-7.785306183,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Merluccius productus,pelagic,13,0.04,1.8,0.00368,0.06,13,-5.604842527,-8.418253244,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Theragra chalcogramma,pelagic,7,0.04,33.5,0.06708,0.075,7,-2.701869342,-5.292136507,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Menidia menidia,demersal,20,0.5,8.9,0.0188,0.13,20,-3.973898409,-6.014119238,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Menidia peninsulae,,25,0.03,2.24,0.00454,0.165,25,-5.394828267,-7.196638072,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Morone americana,,17,0.02,0.09,0.00022,0.105,17,-8.421883012,-10.67567794,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
Morone saxatilis,pelagic,17,0.15,15,0.0303,0.14,17,-3.496607566,-5.462720423,"The temperature, growth rate and mass represent midpoints for this species.",Houde 1989 Bull. Mar. Sci.
